0.1,0.773438,0,0,-2.77148,0,0,0.666667
10,0.0185402,0.013826,0.0782985,-0.312656,0.0289425,8.37666e-06,0.0268569
1,0.999984,8.93848e-05,3.27256e-05,-2.9999,0.000536309,2.87627e-07,0.666667
2,0.994543,0.00168574,0.00581983,-2.96789,0.00977409,2.38832e-05,0.666663
3,0.945944,0.00643616,0.0565577,-2.70588,0.0321726,0.000115008,0.666605
3.5,0.880723,0.0112325,0.147653,-2.39952,0.0476648,0.000185464,0.666451
3.75,0.827704,0.0155459,0.263973,-2.18198,0.0580648,0.000239753,0.666199
4,0.751234,0.0221489,0.502348,-1.90907,0.0688218,0.000296027,0.665517
4.125,0.697279,0.0281693,0.787931,-1.74405,0.0761197,0.000340523,0.664524
4.25,0.625592,0.0377289,1.37189,-1.55555,0.08406,0.000391201,0.661985
4.375,0.517753,0.0596228,3.32818,-1.33398,0.0948507,0.000470029,0.650715
4.45,0.397883,0.107327,10.6028,-1.16817,0.10721,0.000580432,0.602725
4.55,0.195268,0.116793,12.2796,-0.975501,0.0780396,0.000294176,0.358842
4.5,0.287002,0.131041,15.6301,-1.05651,0.101129,0.00050504,0.498886
4.625,0.123926,0.0869455,6.69488,-0.906424,0.0581722,0.0001582,0.176221
4.75,0.0850777,0.0625921,3.37835,-0.844391,0.0481464,0.00010274,0.0750117
4.875,0.0654313,0.0481918,1.95133,-0.795737,0.0440138,8.15132e-05,0.0388196
5,0.0546939,0.0413978,1.40393,-0.758746,0.0424673,7.2139e-05,0.00433091
5.25,0.0430332,0.0322465,0.811271,-0.696398,0.038103,5.26743e-05,0.0105744
5.5,0.0374704,0.0282769,0.595471,-0.647733,0.0361739,4.32579e-05,-0.0176658
6,0.0306127,0.0229413,0.35929,-0.571447,0.0334837,3.11433e-05,0.0353026
7,0.0242132,0.0183869,0.197824,-0.469652,0.0320896,2.10152e-05,-0.0182166
8,0.0213792,0.0161325,0.133252,-0.400398,0.0296332,1.37207e-05,0.0135229
9,0.019654,0.0150041,0.102456,-0.350339,0.0291061,1.04589e-05,-0.0218222
