10,0.1,0.100945
3,0.1,0
4,0.1,0
5,0.1,0
6,0.1,-2.26485e-13
7,0.1,-3.10023e-12
8,0.1,0
9,0.1,-1.2228e-11
10,0.5,0.00346071
3,0.5,0
4,0.5,0
5,0.5,0
6,0.5,0
7,0.5,1.5276e-13
8,0.5,0
9,0.5,3.23741e-13
10,0.9,7.09973e-06
3,0.9,0
4,0.9,0
5,0.9,0
6,0.9,0.000408822
7,0.9,0.000388719
8,0.9,6.93889e-06
9,0.9,8.52333e-06
10,1.3,0.00029015
3,1.3,0.000272848
4,1.3,0.000286954
5,1.3,0.000282226
6,1.3,0.000317892
7,1.3,0.000313291
8,1.3,0.000319014
9,1.3,0.000306602
10,1.7,0.00228884
3,1.7,0.00194776
4,1.7,0.00233
5,1.7,0.0021299
6,1.7,0.00229978
7,1.7,0.00207895
8,1.7,0.00224936
9,1.7,0.00219433
10,2.1,0.0081582
3,2.1,0.00791806
4,2.1,0.00841352
5,2.1,0.00805837
6,2.1,0.00782577
7,2.1,0.00830703
8,2.1,0.00811604
9,2.1,0.00792168
10,2.5,0.0209652
3,2.5,0.0224578
4,2.5,0.0211694
5,2.5,0.0201257
6,2.5,0.0201936
7,2.5,0.0200466
8,2.5,0.0209201
9,2.5,0.0215455
10,2.9,0.047684
3,2.9,0.0590193
4,2.9,0.0533864
5,2.9,0.0458695
6,2.9,0.0465152
7,2.9,0.0456832
8,2.9,0.0463532
9,2.9,0.0460757
10,3.3,0.0978924
3,3.3,0.150843
4,3.3,0.110406
5,3.3,0.0981248
6,3.3,0.100307
7,3.3,0.106435
8,3.3,0.103259
9,3.3,0.097365
10,3.7,0.237089
3,3.7,0.278404
4,3.7,0.292684
5,3.7,0.243681
6,3.7,0.231394
7,3.7,0.23239
8,3.7,0.228359
9,3.7,0.234357
10,4.1,0.703633
3,4.1,0.412137
4,4.1,0.661048
5,4.1,0.835328
6,4.1,0.878967
7,4.1,0.798213
8,4.1,0.758701
9,4.1,0.743031
10,4.5,5.74895
3,4.5,0.44516
4,4.5,0.856275
5,4.5,1.35448
6,4.5,1.96233
7,4.5,2.80883
8,4.5,3.68648
9,4.5,4.6257
10,4.9,1.66279
3,4.9,0.408806
4,4.9,0.704074
5,4.9,0.966672
6,4.9,1.23241
7,4.9,1.37499
8,4.9,1.54791
9,4.9,1.64597
10,5.3,0.754434
3,5.3,0.33719
4,5.3,0.501701
5,5.3,0.627708
6,5.3,0.685981
7,5.3,0.73181
8,5.3,0.769182
9,5.3,0.750753
10,5.7,0.479564
3,5.7,0.270699
4,5.7,0.384783
5,5.7,0.417992
6,5.7,0.466279
7,5.7,0.477873
8,5.7,0.474402
9,5.7,0.477562
10,6.1,0.329524
3,6.1,0.229748
4,6.1,0.293619
5,6.1,0.312282
6,6.1,0.325699
7,6.1,0.329075
8,6.1,0.31597
9,6.1,0.337238
10,6.5,0.256087
3,6.5,0.195703
4,6.5,0.236403
5,6.5,0.236403
6,6.5,0.255334
7,6.5,0.258186
8,6.5,0.24994
9,6.5,0.261746
10,6.9,0.206462
3,6.9,0.173217
4,6.9,0.194541
5,6.9,0.210347
6,6.9,0.206859
7,6.9,0.20219
8,6.9,0.199577
9,6.9,0.211799
10,7.3,0.18204
3,7.3,0.144455
4,7.3,0.167701
5,7.3,0.173021
6,7.3,0.166576
7,7.3,0.169662
8,7.3,0.176151
9,7.3,0.176543
10,7.7,0.149544
3,7.7,0.132152
4,7.7,0.142775
5,7.7,0.14224
6,7.7,0.14789
7,7.7,0.146452
8,7.7,0.147383
9,7.7,0.15334
10,8.1,0.130171
3,8.1,0.113093
4,8.1,0.125879
5,8.1,0.124635
6,8.1,0.129319
7,8.1,0.125356
8,8.1,0.127868
9,8.1,0.126975
10,8.5,0.116399
3,8.5,0.103804
4,8.5,0.107357
5,8.5,0.109257
6,8.5,0.110599
7,8.5,0.113992
8,8.5,0.116823
9,8.5,0.115397
10,8.9,0.103292
3,8.9,0.0917047
4,8.9,0.101445
5,8.9,0.0997373
6,8.9,0.10112
7,8.9,0.10338
8,8.9,0.0997873
9,8.9,0.0991699
10,9.3,0.0884243
3,9.3,0.0876369
4,9.3,0.0903714
5,9.3,0.0925437
6,9.3,0.0942964
7,9.3,0.090478
8,9.3,0.0932334
9,9.3,0.0927501
10,9.7,0.0829142
3,9.7,0.081079
4,9.7,0.0808227
5,9.7,0.0840839
6,9.7,0.0811547
7,9.7,0.083394
8,9.7,0.0858784
9,9.7,0.084099
