,algorithm,L,T,runtime,tau,MC_speed
0,M(RT)^2,16.0,3.51,3.10724e-08,4690.889481068907,6860.724815150014
1,M(RT)^2,16.0,4.51,3.27058e-08,5006.9484336238875,6106.636999090904
2,M(RT)^2,16.0,5.51,3.41308e-08,5459.11339615022,5366.997791160506
3,M(RT)^2,32.0,3.51,3.14811e-08,49609.70102332714,640.2999845851859
4,M(RT)^2,32.0,4.51,3.60314e-08,57898.33436951809,479.3500676498895
5,M(RT)^2,32.0,5.51,3.55774e-08,47440.02923724296,592.4897552657653
6,M(RT)^2,4.0,3.51,5.3386e-08,28.171500271985227,664909.6590631052
7,M(RT)^2,4.0,4.51,5.57771e-08,21.524441833296926,832937.0325964745
8,M(RT)^2,4.0,5.51,5.89702e-08,60.390175395559595,280802.5894244388
9,M(RT)^2,8.0,3.51,5.20822e-08,1817.8457658998407,10562.18198554764
10,M(RT)^2,8.0,4.51,5.24299e-08,683.9223186676645,27887.796081882523
11,M(RT)^2,8.0,5.51,4.91335e-08,515.695734846649,39466.51316364232
12,Wolff,16.0,3.51,1.8867e-06,97.75827847119308,5421.801402003798
13,Wolff,16.0,4.51,6.0963e-07,268.1761676770448,6116.648009253917
14,Wolff,16.0,5.51,3.84228e-07,455.7697512385095,5710.386336876592
15,Wolff,32.0,3.51,2.05127e-06,714.8676606997444,681.9484093071673
16,Wolff,32.0,4.51,7.98601e-07,2402.531904106328,521.1958953446513
17,Wolff,32.0,5.51,5.79297e-07,3776.2967893897635,457.12250318547
18,Wolff,4.0,3.51,6.536e-07,3.3344117016615824,458847.8859210774
19,Wolff,4.0,4.51,4.68602e-07,5.3557852271668,398448.97059857973
20,Wolff,4.0,5.51,3.16142e-07,4.028055941608564,785275.9740342192
21,Wolff,8.0,3.51,1.41431e-06,20.52004353733327,34456.972002744646
22,Wolff,8.0,4.51,6.533e-07,34.62356205866227,44209.49926383994
23,Wolff,8.0,5.51,4.56799e-07,55.36937018254492,39537.14195280799
